cve,cwe,score,"('arbitrari', 'command')","('command', 'inject')","('inject', 'vulner')","('a', 'command')","('inject', 'in')","('execut', 'arbitrari')","('to', 'execut')","('sequel', 'is')","('sqlite', 'and')","('microsoft', 'sql')","('sql', 'server')","('arbitrari', 'code')"
CVE-2016-2216,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-6303,CWE-787,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-7099,CWE-19,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-6591,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16081,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16044,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16053,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2015-5688,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2014-7193,CWE-284,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16013,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16025,CWE-287,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5438,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16075,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-2537,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16045,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-10638,CWE-310,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-10521,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-10643,CWE-310,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-10910,CWE-399,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16056,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16047,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16071,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16072,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16066,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16065,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-3747,CWE-79,1,0,0,0,0,0,0,1,0,0,0,0,0
CVE-2019-5483,CWE-209,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2016-10678,CWE-310,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5444,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16050,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-16021,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-19289,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-0542,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-1010266,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-10742,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-10744,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-10745,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-10746,CWE-88,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-10747,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-11069,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-13173,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-15482,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-15657,CWE-20,2,0,0,0,0,0,1,0,0,0,0,0,1
CVE-2019-5415,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5416,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5422,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5423,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5432,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5437,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5447,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5457,CWE-79,2,0,0,0,0,0,1,1,0,0,0,0,0
CVE-2019-5458,CWE-79,2,0,0,0,0,0,1,1,0,0,0,0,0
CVE-2019-5479,CWE-74,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5480,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5484,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-5737,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-8903,CWE-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-9844,CWE-79,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-11499,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-14849,CWE-284,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-14919,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-15896,CWE-388,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2017-15897,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-12123,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7158,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7159,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7160,CWE-254,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7161,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7162,CWE-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7164,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7166,CWE-119,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2018-7167,CWE-119,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-10750,CWE-400,0,0,0,0,0,0,0,0,0,0,0,0,0
CVE-2019-15138,CWE-200,0,0,0,0,0,0,0,0,0,0,0,0,0
